Indicator Name,Indicator Code,Year,GDP
GDP (current US$),NY.GDP.MKTP.CD,1965,5929231415
GDP (current US$),NY.GDP.MKTP.CD,1966,6561108778
GDP (current US$),NY.GDP.MKTP.CD,1967,7464510710
GDP (current US$),NY.GDP.MKTP.CD,1968,8041999160
GDP (current US$),NY.GDP.MKTP.CD,1969,8683116338
GDP (current US$),NY.GDP.MKTP.CD,1970,10027509450
GDP (current US$),NY.GDP.MKTP.CD,1971,10665896682
GDP (current US$),NY.GDP.MKTP.CD,1972,9415016360
GDP (current US$),NY.GDP.MKTP.CD,1973,6383429490
GDP (current US$),NY.GDP.MKTP.CD,1974,8899191919
GDP (current US$),NY.GDP.MKTP.CD,1975,11230606061
GDP (current US$),NY.GDP.MKTP.CD,1976,13168080808
GDP (current US$),NY.GDP.MKTP.CD,1977,15126060606
GDP (current US$),NY.GDP.MKTP.CD,1978,17811515152
GDP (current US$),NY.GDP.MKTP.CD,1979,19688383838
GDP (current US$),NY.GDP.MKTP.CD,1980,23654444444
GDP (current US$),NY.GDP.MKTP.CD,1981,28100606061
GDP (current US$),NY.GDP.MKTP.CD,1982,30725971564
GDP (current US$),NY.GDP.MKTP.CD,1983,28691889764
GDP (current US$),NY.GDP.MKTP.CD,1984,31151825467
GDP (current US$),NY.GDP.MKTP.CD,1985,31144920844
GDP (current US$),NY.GDP.MKTP.CD,1986,31899070056
GDP (current US$),NY.GDP.MKTP.CD,1987,33351529275
GDP (current US$),NY.GDP.MKTP.CD,1988,38472742808
GDP (current US$),NY.GDP.MKTP.CD,1989,40171018229
GDP (current US$),NY.GDP.MKTP.CD,1990,40010423970
GDP (current US$),NY.GDP.MKTP.CD,1991,45625234698
GDP (current US$),NY.GDP.MKTP.CD,1992,48884606848
GDP (current US$),NY.GDP.MKTP.CD,1993,51809949334
GDP (current US$),NY.GDP.MKTP.CD,1994,52293456906
GDP (current US$),NY.GDP.MKTP.CD,1995,60636022423
GDP (current US$),NY.GDP.MKTP.CD,1996,63320122807
GDP (current US$),NY.GDP.MKTP.CD,1997,62433300338
GDP (current US$),NY.GDP.MKTP.CD,1998,62191955814
GDP (current US$),NY.GDP.MKTP.CD,1999,62973855719
GDP (current US$),NY.GDP.MKTP.CD,2000,82017743416
GDP (current US$),NY.GDP.MKTP.CD,2001,79484403985
GDP (current US$),NY.GDP.MKTP.CD,2002,79904985385
GDP (current US$),NY.GDP.MKTP.CD,2003,91760542940
GDP (current US$),NY.GDP.MKTP.CD,2004,107759683863
GDP (current US$),NY.GDP.MKTP.CD,2005,120055291993
GDP (current US$),NY.GDP.MKTP.CD,2006,137264061106
GDP (current US$),NY.GDP.MKTP.CD,2007,152385716312
GDP (current US$),NY.GDP.MKTP.CD,2008,170077814106
GDP (current US$),NY.GDP.MKTP.CD,2009,168152775283
GDP (current US$),NY.GDP.MKTP.CD,2010,177165635077
GDP (current US$),NY.GDP.MKTP.CD,2011,213587413184
GDP (current US$),NY.GDP.MKTP.CD,2012,224383620830
GDP (current US$),NY.GDP.MKTP.CD,2013,231218567179
GDP (current US$),NY.GDP.MKTP.CD,2014,244360888751
GDP (current US$),NY.GDP.MKTP.CD,2015,270556131701
GDP (current US$),NY.GDP.MKTP.CD,2016,313629858860
GDP (current US$),NY.GDP.MKTP.CD,2017,339205615769
GDP (current US$),NY.GDP.MKTP.CD,2018,356128224957
GDP (current US$),NY.GDP.MKTP.CD,2019,320909489230
GDP (current US$),NY.GDP.MKTP.CD,2020,300306331698
GDP (current US$),NY.GDP.MKTP.CD,2021,346343170486
GDP (current US$),NY.GDP.MKTP.CD,2022,360193190412